ROI Label,input_roi,output_roi,mapped_indices
244,17Networks_RH_SomMotB_S2_8,7Networks_RH_SomMot_14,254
245,17Networks_RH_SomMotB_Cent_1,7Networks_RH_SomMot_15,255
246,17Networks_RH_SomMotB_Cent_2,7Networks_RH_SomMot_16,256
247,17Networks_RH_DorsAttnB_PostC_1,7Networks_RH_SomMot_17,273
248,17Networks_RH_SomMotB_Cent_3,7Networks_RH_SomMot_18,257
249,17Networks_RH_SomMotA_1,7Networks_RH_SomMot_19,223
250,17Networks_RH_SalVentAttnA_ParMed_1,7Networks_RH_SomMot_20,296
251,17Networks_RH_SomMotA_2,7Networks_RH_SomMot_21,224
252,17Networks_RH_SomMotA_3,7Networks_RH_SomMot_22,225
253,17Networks_RH_SomMotA_4,7Networks_RH_SomMot_23,226
254,17Networks_RH_SomMotA_5,7Networks_RH_SomMot_24,227
